skill,count,avg_price,med_price,max_price,min_price,created_at
Fargate,2,65.0,67.5,75,60,20201121
Fargate,2,65.0,67.5,75,60,20201122
Fargate,2,65.0,67.5,75,60,20201123
Fargate,2,65.0,67.5,75,60,20201124
Fargate,2,65.0,67.5,75,60,20201125
Fargate,2,65.0,67.5,75,60,20201126
Fargate,2,65.0,67.5,75,60,20201127
Fargate,2,65.0,67.5,75,60,20201128
Fargate,2,65.0,67.5,75,60,20201129
Fargate,2,65.0,67.5,75,60,20201130
Fargate,2,65.0,67.5,75,60,20201202
Fargate,2,65.0,67.5,75,60,20201203
Fargate,2,65.0,67.5,75,60,20201204
Fargate,2,65.0,67.5,75,60,20201205
Fargate,2,65.0,67.5,75,60,20201206
Fargate,2,65.0,67.5,75,60,20201207
Fargate,2,65.0,67.5,75,60,20201208
Fargate,2,65.0,67.5,75,60,20201209
